strategy_type,entries,wins,win_rate_pct,podiums,podium_rate_pct,points_finishes,avg_points,total_points
1-stop,298,0,0.0,0,0.0,0,,0.0
2-stop,384,0,0.0,0,0.0,0,,0.0
3+-stop,204,0,0.0,0,0.0,0,,0.0
