2026-06-14 14:27:53 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R01 — Bahrain Grand Prix
2026-06-14 14:28:00 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R01 — Bahrain Grand Prix
2026-06-14 14:28:01 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R02 — Saudi Arabian Grand Prix
2026-06-14 14:28:08 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R02 — Saudi Arabian Grand Prix
2026-06-14 14:28:09 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R03 — Australian Grand Prix
2026-06-14 14:28:16 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R03 — Australian Grand Prix
2026-06-14 14:28:17 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R04 — Japanese Grand Prix
2026-06-14 14:28:24 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R04 — Japanese Grand Prix
2026-06-14 14:28:25 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R05 — Chinese Grand Prix
2026-06-14 14:28:31 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R05 — Chinese Grand Prix
2026-06-14 14:28:32 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R06 — Miami Grand Prix
2026-06-14 14:28:40 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R06 — Miami Grand Prix
2026-06-14 14:28:41 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R07 — Emilia Romagna Grand Prix
2026-06-14 14:28:48 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R07 — Emilia Romagna Grand Prix
2026-06-14 14:28:49 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R08 — Monaco Grand Prix
2026-06-14 14:28:57 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R08 — Monaco Grand Prix
2026-06-14 14:28:58 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R09 — Canadian Grand Prix
2026-06-14 14:29:06 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R09 — Canadian Grand Prix
2026-06-14 14:29:07 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R10 — Spanish Grand Prix
2026-06-14 14:29:14 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R10 — Spanish Grand Prix
2026-06-14 14:29:15 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R11 — Austrian Grand Prix
2026-06-14 14:29:23 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R11 — Austrian Grand Prix
2026-06-14 14:29:24 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R12 — British Grand Prix
2026-06-14 14:29:30 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R12 — British Grand Prix
2026-06-14 14:29:31 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R13 — Hungarian Grand Prix
2026-06-14 14:29:39 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R13 — Hungarian Grand Prix
2026-06-14 14:29:40 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R14 — Belgian Grand Prix
2026-06-14 14:29:47 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R14 — Belgian Grand Prix
2026-06-14 14:29:48 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R15 — Dutch Grand Prix
2026-06-14 14:29:56 | SUCCESS  | src.data.collector:_collect_race:300 |   OK  — 2024 R15 — Dutch Grand Prix
2026-06-14 14:29:57 | INFO     | src.data.collector:_collect_race:257 | Processing: 2024 R16 — Italian Grand Prix
