2026-06-15 19:22:41 | INFO     | src.data.collector:__init__:177 | FastF1 cache  : /Users/misty/Documents/f1-race-strategy-analytics/.fastf1_cache
2026-06-15 19:22:41 | INFO     | src.data.collector:__init__:178 | Seasons       : [2023, 2024]
2026-06-15 19:22:41 | INFO     | src.data.collector:__init__:179 | Session type  : R
2026-06-15 19:22:41 | INFO     | src.data.collector:__init__:180 | Overwrite     : False
2026-06-15 19:22:41 | INFO     | src.data.collector:run:189 | ============================================================
2026-06-15 19:22:41 | INFO     | src.data.collector:run:190 | F1 Data Collection Pipeline — START
2026-06-15 19:22:41 | INFO     | src.data.collector:run:191 | ============================================================
2026-06-15 19:22:41 | INFO     | src.data.collector:_collect_season:219 | ── Season 2023 ──────────────────────────────────
2026-06-15 19:22:42 | INFO     | src.data.collector:_collect_season:229 | Season 2023: 22 race events found
2026-06-15 19:22:42 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R01 — Bahrain Grand Prix
2026-06-15 19:22:42 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R01 — Bahrain Grand Prix
2026-06-15 19:22:43 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R02 — Saudi Arabian Grand Prix
2026-06-15 19:22:43 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R02 — Saudi Arabian Grand Prix
2026-06-15 19:22:44 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R03 — Australian Grand Prix
2026-06-15 19:22:44 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R03 — Australian Grand Prix
2026-06-15 19:22:45 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R04 — Azerbaijan Grand Prix
2026-06-15 19:22:45 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R04 — Azerbaijan Grand Prix
2026-06-15 19:22:46 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R05 — Miami Grand Prix
2026-06-15 19:22:46 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R05 — Miami Grand Prix
2026-06-15 19:22:47 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R06 — Monaco Grand Prix
2026-06-15 19:22:47 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R06 — Monaco Grand Prix
2026-06-15 19:22:48 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R07 — Spanish Grand Prix
2026-06-15 19:22:48 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R07 — Spanish Grand Prix
2026-06-15 19:22:49 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R08 — Canadian Grand Prix
2026-06-15 19:22:49 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R08 — Canadian Grand Prix
2026-06-15 19:22:50 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R09 — Austrian Grand Prix
2026-06-15 19:22:50 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R09 — Austrian Grand Prix
2026-06-15 19:22:51 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R10 — British Grand Prix
2026-06-15 19:22:51 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R10 — British Grand Prix
2026-06-15 19:22:52 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R11 — Hungarian Grand Prix
2026-06-15 19:22:52 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R11 — Hungarian Grand Prix
2026-06-15 19:22:53 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R12 — Belgian Grand Prix
2026-06-15 19:22:53 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R12 — Belgian Grand Prix
2026-06-15 19:22:54 | INFO     | src.data.collector:_collect_race:257 | Processing: 2023 R13 — Dutch Grand Prix
2026-06-15 19:22:54 | INFO     | src.data.collector:_collect_race:271 |   SKIP — all files already exist for 2023 R13 — Dutch Grand Prix
